continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
1,0,0,0,3667,1970,2,527.8901,0,1,1
1,2,0,0,488,2010,1,49357.95,3,1,0
3,0,1,0,2724,1998,3,69335.2,3,1,0
1,3,0,0,1392,2001,3,99737.18,3,0,0
3,0,1,0,2573,1977,2,91449.62,3,1,1
3,0,1,0,3524,1982,1,34494.86,3,1,0
1,2,0,0,1847,1977,2,395.995,0,1,1
1,3,0,0,107535,1970,4,159645.51,3,1,1
1,3,1,0,2227,2007,2,28243.79,3,1,0
1,3,1,0,334,2007,1,43421.88,3,1,0
1,0,1,0,224,2008,1,80253.78,3,1,0
1,1,1,0,367,1982,4,115235.95,3,1,0
1,3,1,0,306,2003,2,95200.86,3,0,0
3,1,1,0,2317,1995,0,41613.52,3,1,0
1,0,0,0,890,1981,4,64137.41,3,1,1
1,0,1,0,2002,2006,3,66295.43,3,1,0
1,0,0,0,2903,1943,1,97520.02,3,1,0
1,0,1,0,2504,2001,4,65164.57,3,1,0
3,2,1,0,951,1956,1,73957.17,3,0,0
1,3,1,0,1327,1864,4,71415.43,3,1,0
1,0,1,0,2421,1974,3,87336.53,3,1,0
3,2,1,0,1019,2005,3,98966.72,2,1,0
1,1,0,0,1048,1985,1,83503.6,3,1,0
1,3,0,0,3323,2005,1,57590.66,3,1,0
1,0,1,0,509,1997,3,32400.2,2,1,0
3,3,1,1,2225,1976,2,65993.21,3,1,0
1,0,1,0,1641,1984,1,32161.6,3,1,0
1,3,0,0,1144,2001,2,16421.37,3,1,1
3,3,0,0,2334,1971,3,160676.39,3,0,0
5,0,0,0,1415,1913,2,53114.02,3,1,1
1,1,1,1,2754,1997,3,19176.21,3,1,0
3,3,0,0,1099,2005,4,204832.52,3,0,1
1,3,1,0,960,2012,2,40256.03,3,1,0
3,3,1,0,2750,1997,4,38841.44,3,1,0
1,2,1,0,2753,2010,2,133052.84,3,1,1
3,0,1,0,23287,2007,3,75234.64,3,0,0
1,0,0,0,2140,1997,3,37032.83,3,1,0
1,0,0,0,4499,2008,2,61617.73,3,1,1
5,2,0,0,2554,2005,1,247393.01,3,1,0
1,0,1,0,1333,1969,2,341.0229,0,1,0
1,1,0,0,928,1818,3,30570.95,3,1,0
1,1,1,0,4289,2005,1,19477.1,3,1,0
1,1,1,1,113282,2011,1,164893.0,3,1,0
1,3,1,0,1948,2002,3,131584.5,3,1,0
1,3,1,0,1933,1839,2,63896.35,3,1,0
1,3,0,0,2847,2013,1,77883.22,3,1,0
1,0,1,0,1195,1914,1,108519.14,3,1,0
1,3,1,0,54,1988,3,47002.53,3,0,0
1,3,0,0,4390,1944,3,88720.29,3,0,0
1,3,1,0,73909,2004,1,60821.75,3,1,0
1,3,0,1,545,1855,3,66324.69,3,1,0
1,1,1,0,2831,1977,3,100398.58,3,1,0
1,0,0,1,1634,1999,3,51282.75,3,1,0
2,0,1,0,1810,1943,3,13322.72,3,1,0
2,0,1,0,3290,2005,2,357.8194,0,1,0
1,3,1,0,472,2004,4,4787.43,3,1,0
1,0,1,0,4273,1884,1,149023.92,3,1,0
1,3,0,0,2326,1933,4,123739.41,3,1,1
1,0,0,0,50351,1975,4,529.1105,0,1,1
2,3,1,0,2261,1966,1,68933.4,3,1,0
1,2,1,0,255,2003,2,412.3476,0,1,1
1,3,1,0,373,2009,3,128931.59,3,0,0
2,2,1,1,22,1999,1,37751.51,3,1,0
1,1,1,1,3102,2001,4,81781.43,3,1,0
1,3,1,0,5147,1997,2,6256.18,3,1,0
1,1,1,0,284,2007,2,44539.97,3,1,0
3,3,1,0,1926,1801,4,104281.71,3,1,0
1,2,1,0,2510,1920,1,125323.7,3,1,0
2,1,1,1,1200,2013,1,81816.46,3,1,0
2,0,1,0,337,2004,4,4027.85,3,1,0
3,1,1,0,2880,1925,3,56117.39,3,0,0
1,0,1,0,816,1947,3,113212.16,3,1,0
1,3,1,0,2640,2009,4,47095.57,3,1,0
1,3,1,0,4190,2006,3,123437.12,3,0,0
1,0,1,0,459,1998,2,65894.51,3,1,0
1,2,1,0,3351,1993,2,174333.19,3,1,1
1,0,0,0,3639,1988,2,192.157,0,1,1
1,3,0,0,373,1992,4,71825.63,2,1,1
2,0,0,0,201,1982,3,50362.77,3,1,0
5,0,1,0,5461,1979,2,9078.62,3,1,0
1,3,1,0,3050,1993,2,10341.89,3,1,0
1,0,1,0,28592,1997,4,61740.3,3,1,0
2,0,1,0,3207,1995,1,61031.95,3,1,0
1,1,1,0,5820,1998,3,31986.79,3,1,0
3,0,1,1,3229,1999,3,93384.38,3,1,0
1,0,1,0,2708,2010,2,109921.68,3,1,0
1,1,0,1,2779,2002,1,122535.0,3,1,0
1,2,1,0,977,1986,2,105898.54,3,1,1
2,0,1,1,44069,2006,4,134350.49,3,1,0
2,0,1,0,1566,1931,3,126498.81,3,1,0
2,3,0,1,4439,1962,3,113366.37,3,1,0
1,3,0,0,1929,2001,1,100401.52,3,1,0
1,0,0,0,654,1954,2,128173.92,3,1,1
1,2,1,1,557,2010,2,313.835,0,1,1
1,0,0,0,421,2005,1,88809.74,3,1,0
2,2,1,0,600,2009,2,138032.0,3,1,1
5,3,1,0,1551,1989,4,630.66,3,1,0
2,1,1,0,2540,2003,1,29469.17,3,1,0
1,0,1,0,961,2007,4,123688.79,3,1,0
1,1,1,0,3726,1884,2,111179.86,3,0,0
3,3,1,0,4045,1987,4,102909.59,3,0,0
1,3,1,0,128431,1991,4,128850.75,3,1,0
0,3,1,0,2180,1992,1,113637.4,3,1,0
1,0,0,0,872,1991,2,179675.58,3,1,1
2,3,0,0,2689,1998,3,15814.94,3,1,0
2,3,0,1,2752,2006,3,21511.58,3,1,0
1,3,0,0,1375,1976,3,94252.62,3,0,0
2,3,1,0,7320,1868,2,89207.07,3,1,0
1,1,1,0,3282,1979,4,74441.11,3,1,0
1,0,1,0,1313,2002,4,99469.71,3,1,0
1,0,1,0,3128,1999,4,31890.66,3,1,0
1,3,0,0,4757,1981,1,167376.13,3,1,0
1,2,1,0,2122,1859,1,130404.72,3,1,0
1,2,1,0,2524,1946,4,84130.53,3,1,1
2,1,1,0,766,1950,1,89079.05,3,1,0
1,2,0,0,1190,2003,3,82464.74,3,1,0
3,2,0,0,2741,2005,2,158.3807,0,1,1
1,3,0,0,3233,2012,3,62640.94,3,0,0
1,3,1,0,2696,1966,0,116642.18,3,0,0
1,3,1,0,3980,1869,3,53767.37,3,1,0
1,1,0,1,111,2008,2,115777.03,3,1,1
3,3,0,0,5396,1963,3,101399.51,3,0,0
1,0,0,0,2778,2000,2,146374.48,3,1,1
2,0,0,1,789,1925,1,21282.82,3,1,0
1,3,1,0,1515,2001,1,269321.68,3,0,0
3,0,1,0,26891,1917,2,52114.54,3,1,1
2,0,0,0,1867,1933,2,2390.74,3,1,0
2,3,1,0,3395,2008,3,73623.94,3,1,0
1,0,1,0,879,1996,1,141796.39,1,1,0
3,1,1,1,2518,2010,3,219529.62,3,1,0
2,1,0,0,2468,1991,4,195404.0,3,1,0
2,0,0,0,787,1913,2,158569.72,3,0,1
5,0,0,0,1004,1960,1,135792.52,3,1,0
1,0,1,0,717,1998,2,100379.63,3,1,0
3,3,0,0,20,1997,1,138925.72,3,0,0
1,2,1,0,503,1998,1,118458.61,3,1,0
1,2,1,0,584,1968,4,688.1266,0,1,1
1,3,0,0,2770,1997,3,112028.45,3,0,0
3,2,0,0,284,1982,4,808.582,0,1,1
1,3,1,0,1935,1989,2,112881.33,3,1,0
1,1,1,0,2098,2010,3,7794.05,3,1,0
1,0,1,0,3223,1997,3,7113.47,3,1,0
2,0,0,0,2771,1975,4,100786.62,3,1,0
3,2,0,0,2147,1986,4,87390.54,3,1,1
1,0,0,0,2543,2014,4,93644.17,3,1,1
3,3,0,0,155999,2003,4,118555.6,3,1,1
1,3,0,0,3592,1950,4,114512.69,3,1,1
2,3,1,0,5504,1996,3,59125.18,3,1,0
2,2,1,0,2216,2000,2,26325.98,3,1,1
4,1,1,0,2871,2009,3,56606.54,1,1,0
0,0,0,1,2509,2003,4,51886.04,3,1,1
3,3,0,0,1720,1995,2,62112.22,2,1,1
2,1,1,0,1760,1997,3,63108.03,3,1,0
2,3,0,0,-25,1980,2,39452.99,3,1,0
2,1,1,1,1025,2005,2,80580.97,3,1,0
2,1,0,0,109,2008,3,37291.82,3,1,0
3,3,1,0,2901,1971,2,95974.61,3,1,0
1,2,1,0,4449,1963,2,21846.43,3,1,1
1,3,1,0,4280,2004,2,61147.07,3,1,0
2,1,0,1,2223,2013,4,120148.75,3,1,0
1,0,1,0,1667,2007,3,206941.23,3,0,0
2,3,1,0,5260,1994,4,91689.54,3,1,0
1,3,0,0,365,1896,2,76214.85,3,1,1
2,2,0,0,1243,1998,4,65458.88,3,1,1
1,3,1,0,1721,2009,3,62730.52,3,1,0
1,0,1,0,517,1949,3,21651.43,3,1,0
1,0,0,0,3266,2007,1,102598.35,3,1,0
1,0,1,0,955,1998,4,56422.81,3,1,0
1,0,0,0,1310,2007,3,141372.27,3,1,0
1,3,0,1,2854,1843,2,138642.17,3,1,1
1,0,1,0,230,1925,1,143628.65,3,1,0
1,3,0,0,2374,2006,1,35760.36,3,1,0
1,3,0,0,4241,1998,2,3456.8,3,1,1
5,2,1,0,69469,1974,3,42469.25,3,1,0
1,0,0,0,5425,1855,2,45614.3,3,1,1
3,3,1,0,2733,1960,4,108458.31,3,1,0
1,3,1,0,3664,1931,4,62950.34,3,1,0
1,0,0,1,1546,1850,3,162990.52,3,1,0
1,3,1,0,2486,1906,3,84521.88,3,1,0
3,3,1,0,1233,2001,3,141129.7,3,0,0
1,2,0,0,1681,1999,4,85218.35,3,1,1
0,3,0,0,1608,2009,4,118.84,0,1,1
1,3,0,0,4349,1998,4,154428.88,3,0,1
1,0,1,0,1764,1961,3,65108.59,3,1,0
1,0,1,1,4440,1998,3,21001.69,3,1,0
1,2,0,0,769,1951,3,57370.96,3,1,0
1,3,0,0,2443,1958,1,99714.22,3,1,0
1,2,0,0,3725,2009,1,139424.83,3,1,0
1,0,0,0,2061,1995,4,20951.91,3,1,1
1,3,1,0,216,1909,1,66329.37,3,1,0
2,0,1,0,3489,2007,3,88447.6,3,1,0
3,0,0,1,433,1912,4,123018.45,3,1,1
1,0,1,0,1932,1989,3,165.2722,0,1,0
3,3,1,0,572,1847,2,12800.02,3,1,0
2,3,1,0,306,1975,3,103390.44,3,0,0
2,0,0,0,623,2007,2,25419.59,3,1,0
4,0,0,0,2288,2011,4,82385.6,3,1,1
1,3,0,1,3370,2007,4,42761.33,3,1,1
1,3,0,0,875,1983,1,98119.94,3,1,0
3,0,0,0,2586,1997,4,2007.26,3,1,1
1,0,0,0,661,2006,1,84899.65,3,1,0
1,0,0,0,2337,1996,3,26813.7,3,1,0
1,0,0,0,1672,1998,3,367.31,3,1,0
1,3,1,0,717,1948,3,116370.47,3,1,0
2,0,1,0,1017,1975,3,32086.09,3,1,0
1,2,0,0,1624,2000,4,205084.59,3,1,1
1,0,0,1,3891,1931,3,45860.87,3,1,0
1,3,1,1,2009,2005,4,69741.05,3,1,0
1,3,1,0,3268,2012,1,101371.21,3,1,0
1,3,0,0,1312,1998,3,93644.47,3,1,0
3,0,0,0,229,2005,4,248.01,0,1,1
1,0,1,0,2597,1945,4,155042.99,3,1,0
1,0,1,0,2114,1977,4,596.2488,0,1,0
3,3,1,0,48369,2007,4,53304.04,3,1,0
1,0,1,0,2609,1991,2,34738.65,3,1,0
3,3,1,0,4265,1997,3,69375.0,3,1,0
1,0,1,0,533,1978,4,30066.16,3,1,0
1,3,1,0,4574,2006,2,67204.54,3,1,0
1,3,1,1,954,1988,4,56065.53,3,1,0
2,0,1,0,3831,2010,4,18035.36,3,1,0
1,0,0,0,1778,1983,3,100850.52,3,1,0
1,2,0,0,29453,2005,0,133586.58,3,1,1
1,2,0,0,652,1913,2,24968.7,3,0,1
1,2,1,0,2170,1998,1,115801.09,3,1,0
3,2,1,0,3550,2012,4,268.1379,0,1,0
5,0,0,0,1761,1995,1,667.4133,0,1,0
1,2,0,0,805,1898,2,117.85,0,1,1
3,1,1,1,1615,1991,3,112655.02,3,1,0
5,2,1,0,4153,2010,0,135250.42,3,1,0
1,2,0,1,743,1999,3,132240.65,3,1,0
1,0,1,0,3827,1995,3,65376.07,3,1,0
1,3,1,0,2345,1966,3,111254.68,3,1,0
2,0,1,0,6188,1993,3,94830.46,3,1,0
3,0,1,0,629,2004,4,232227.33,3,1,0
1,0,1,0,5576,2009,4,125246.83,3,1,0
2,1,1,0,5075,1981,2,36028.54,3,1,0
1,3,0,0,2234,1920,4,238691.32,3,0,1
1,0,1,0,2698,1970,4,34168.31,3,1,0
1,1,1,0,1485,1993,2,91290.38,3,1,0
2,0,0,0,2425,2008,3,83239.29,3,1,0
5,0,1,0,2969,1923,4,62586.7,3,1,1
2,0,1,0,1738,2011,1,29260.86,3,1,0
1,3,1,0,4614,1911,2,84716.62,3,0,0
1,3,1,0,1222,1975,1,54424.62,3,1,0
2,1,0,0,186,1991,4,16551.46,3,1,0
3,0,0,1,2747,1994,2,42321.96,3,1,1
1,0,1,0,2114,2012,2,15.7716,0,1,0
1,2,1,0,4550,1968,1,104457.29,3,1,0
2,0,0,0,1083,1999,3,69113.96,3,1,0
1,3,1,0,822,1838,2,66711.21,3,0,0
3,0,1,0,25805,2002,3,25512.46,3,1,0
1,3,0,0,1741,1950,2,20687.36,3,1,1
1,0,0,0,3438,2013,0,97325.13,3,1,1
1,3,0,0,1501,1983,1,120371.72,3,1,0
1,3,1,0,2284,2013,3,51610.24,3,1,0
1,0,0,0,2384,2007,4,96146.09,3,0,1
1,3,0,1,1031,2014,2,220448.17,3,0,1
1,3,1,0,3213,1924,1,23272.21,3,1,0
1,3,0,0,1894,1906,2,106937.84,3,1,1
1,0,0,0,2280,2011,1,37069.3,3,1,0
1,0,1,0,1610,1962,1,98331.32,3,1,0
1,0,1,0,1766,1997,3,3683.43,3,1,0
1,0,1,0,2269,1997,2,196668.77,3,0,0
1,0,0,1,114,1851,4,69228.82,3,1,1
5,1,0,0,819,1994,0,33645.87,3,1,1
3,1,1,0,28418,1969,2,109700.58,3,1,0
1,2,0,0,1983,2010,4,30668.32,3,1,1
1,0,1,0,2927,1977,3,99753.8,3,1,0
1,0,0,0,2553,2004,1,68751.19,3,1,0
1,1,1,0,82716,1993,4,111724.66,3,0,0
5,0,1,0,1837,1898,3,227.1764,0,1,0
1,0,1,0,308,1995,4,86133.77,3,1,0
3,2,0,1,2561,2014,2,43754.7,3,1,1
1,1,1,0,70113,1897,2,67492.78,2,1,0
1,3,1,0,5483,2003,4,48943.43,3,1,0
2,3,1,0,81379,1999,3,49256.63,3,1,0
1,0,1,0,1506,1998,2,112853.73,3,1,0
1,3,1,0,190,2001,1,144312.48,3,1,0
3,0,1,1,2701,2010,3,93506.62,3,1,0
1,3,0,0,3062,2001,2,198752.64,3,0,1
1,2,1,0,71,2005,3,18476.27,3,1,0
1,1,0,0,3166,1995,2,97353.15,3,0,1
1,2,1,0,35961,1865,2,152912.99,3,1,1
3,3,1,0,94411,1977,2,50067.16,3,1,0
1,0,0,0,2594,1849,3,85495.84,3,1,0
1,3,1,0,2240,2006,4,19525.49,3,1,0
1,0,0,1,-11,2011,2,32506.14,3,1,1
1,0,1,0,2090,1872,4,197452.18,3,0,0
1,0,1,0,149,1948,3,45850.33,3,1,0
1,3,1,0,855,2009,2,53519.51,3,1,0
1,3,1,0,566,1998,1,142325.74,3,1,0
1,1,0,0,3970,2013,4,74603.2,3,1,1
1,0,1,0,720,2001,4,124317.33,3,1,0
2,0,0,0,2948,1967,4,323.7,3,1,0
1,1,1,0,3962,2011,2,73225.28,3,1,0
0,3,1,0,4857,2001,2,101949.05,3,1,0
3,1,0,0,1200,1996,1,107875.51,3,1,0
3,3,1,0,2579,2007,4,68683.19,3,1,0
5,2,0,0,1864,1911,0,137985.25,3,1,1
2,0,0,0,202,1986,4,35868.69,3,1,0
1,0,1,0,51,2003,4,21976.68,3,1,0
2,0,0,1,3628,2000,2,79840.12,3,1,1
1,0,1,0,1872,1926,4,99201.01,3,1,0
3,0,1,0,869,2001,4,64084.23,3,1,0
3,2,1,0,693,1999,4,123519.71,3,1,0
2,1,1,0,1525,1978,4,11287.42,3,1,0
1,3,1,0,1584,1984,1,45261.26,3,1,0
1,3,0,0,448,2006,2,112831.03,3,1,1
2,0,1,0,714,1873,4,113927.99,2,1,0
1,0,1,1,1000,1848,4,103200.45,3,1,0
1,3,0,0,1983,2002,3,33049.76,3,1,0
1,3,0,0,525,2001,4,113911.27,3,0,1
1,0,1,0,997,2001,1,197676.15,3,1,0
3,2,0,0,2290,2015,2,293.3152,0,1,1
3,0,1,0,153,1972,1,206.4596,0,1,0
1,3,0,0,1313,1889,1,157199.78,3,1,0
1,1,1,0,3659,1876,3,81806.42,3,1,0
1,0,1,1,4713,1968,4,100969.89,3,1,0
1,3,1,0,979,1852,2,59533.78,3,1,0
2,2,0,0,1010,2007,4,27345.68,3,1,1
1,0,1,1,2105,2000,4,26459.67,3,1,0
3,2,0,1,23483,2000,3,65681.0,3,1,0
2,1,0,0,4651,1938,3,12367.86,3,1,0
3,3,0,0,1178,1859,2,297.1948,0,1,1
1,3,1,1,690,2013,2,79380.0,3,1,0
1,3,0,0,2549,1993,3,108989.75,3,0,0
1,0,1,0,1363,1982,3,56188.13,3,1,0
1,0,0,0,2517,2005,3,188992.63,3,0,0
1,0,1,0,3094,1986,3,42657.8,3,1,0
5,0,0,1,2378,2005,4,94230.51,3,1,1
3,0,1,0,3817,2010,2,20141.7,3,1,1
2,3,1,0,4247,2005,4,18679.63,3,1,0
1,1,1,0,2109,2002,2,27280.53,3,0,0
3,3,0,0,1847,2002,3,299.6081,0,1,0
1,3,0,0,2675,1997,1,102915.07,3,1,0
1,1,1,0,1121,2008,4,230750.48,3,0,0
1,3,1,0,3696,2001,2,100.98,0,1,0
1,0,0,0,3055,1847,1,113440.66,3,1,0
1,2,0,0,3282,2003,3,547.5103,0,1,0
1,0,1,0,3466,1868,4,31023.47,3,1,0
1,0,0,0,1496,2001,2,95886.8,3,0,1
1,0,0,0,2481,2008,2,411.2051,0,1,1
1,3,1,0,1451,2009,3,129450.64,3,0,0
1,3,0,0,1499,1969,2,69068.26,3,1,1
1,2,1,1,374,1911,4,27132.34,3,1,1
1,3,0,0,3537,1998,4,72239.48,3,1,1
1,2,1,0,4562,2006,2,88925.59,1,1,1
1,0,1,0,1641,1985,3,67086.02,3,1,0
1,3,0,0,614,1999,4,83824.94,3,1,1
1,0,1,0,137,1993,3,23649.64,3,1,0
1,3,0,0,956,1960,4,118922.84,3,1,1
3,0,0,0,3018,1920,2,104.23,0,1,1
1,0,1,0,2884,2008,2,114790.58,3,1,0
1,1,0,0,894,1851,4,170188.95,3,1,1
5,3,1,0,636,1977,3,1857.39,3,1,0
0,0,1,0,255,2004,2,122859.37,3,1,0
1,0,1,0,2311,2005,4,86901.23,3,0,0
3,3,0,0,781,1983,1,78096.9,3,0,0
1,0,0,1,1543,1999,4,78402.72,3,1,1
1,3,1,0,3057,1995,3,22784.52,3,1,0
1,3,1,0,4670,2003,4,62656.12,3,1,0
1,0,1,0,3277,1980,1,124439.76,3,1,0
3,0,1,0,2114,1965,2,72354.96,3,1,0
1,1,0,1,2148,1986,3,43147.38,3,1,0
2,0,0,0,3542,1963,2,248.6583,0,1,0
1,3,1,0,112102,1852,3,235339.91,3,1,0
1,0,1,0,412,1994,3,41696.75,3,1,0
3,3,0,0,60,1948,3,92071.0,3,0,0
1,3,0,0,922,1998,3,46080.75,3,1,0
3,0,0,1,2999,2006,3,172504.71,3,1,0
1,0,1,0,4258,2008,4,40926.81,3,1,0
1,3,1,0,3267,2001,3,95560.45,3,0,0
1,0,0,0,3039,1994,1,115034.46,3,1,0
1,0,0,0,546,1983,1,28280.53,3,1,0
1,0,1,0,3433,2002,4,36979.16,3,1,0
1,2,1,0,1540,1947,2,10057.24,3,1,1
2,1,1,0,772,2007,3,71977.54,3,1,0
3,3,0,0,412,2010,4,27656.02,3,1,1
1,0,1,1,758,1996,0,50293.83,3,1,0
1,3,0,0,1571,1996,4,143415.79,3,0,1
1,3,0,0,731,2007,2,37830.16,3,1,1
3,2,0,0,1419,1973,4,90094.22,3,1,1
1,1,0,0,1006,2009,3,23389.53,3,1,0
3,1,1,1,1458,1999,3,88698.51,3,1,0
3,1,1,0,467,1959,3,43697.94,3,1,0
2,0,1,0,81849,1927,3,81724.72,3,1,0
1,1,1,0,1337,1988,2,89443.72,2,1,0
1,2,1,1,2933,2001,4,28237.13,3,1,1
0,3,1,0,3285,1989,2,165219.14,3,1,0
0,3,1,0,81762,1990,4,24496.71,3,1,0
3,3,1,0,4132,2003,3,67959.42,3,1,0
3,1,1,0,2691,2014,2,27471.41,3,1,0
1,3,1,0,3176,2003,4,132453.43,3,1,0
1,0,0,0,3209,2001,2,137179.34,3,1,1
1,3,0,0,3267,2003,3,161738.67,3,1,0
1,0,0,0,519,1998,0,78673.0,3,1,1
3,3,0,0,4762,2005,1,75960.46,3,1,0
3,3,1,0,1267,2010,4,33630.82,3,1,0
1,3,0,0,3697,2001,4,64422.65,3,1,1
1,0,0,0,1126,2010,2,52988.17,3,1,1
1,3,0,0,1106,2000,4,521.0385,0,1,1
1,0,1,0,2089,2007,3,232680.65,3,1,0
5,2,1,0,16587,1994,4,102169.61,3,1,0
1,3,0,1,46,1948,4,92218.76,3,1,1
3,3,1,0,36353,1998,2,125925.71,3,0,0
3,0,1,0,3514,2010,1,24197.92,3,1,0
1,0,0,0,1110,1963,3,97931.99,1,1,0
1,0,0,0,553,1979,3,61744.57,3,0,0
1,3,1,0,1245,2012,1,92549.52,3,0,0
1,0,0,0,981,1984,2,23128.95,3,1,1
3,3,0,0,3244,2007,4,10793.45,3,1,1
2,0,0,1,2557,1995,4,138190.15,3,1,0
2,3,0,0,1369,2010,3,43881.65,3,0,0
1,3,1,0,2822,1911,3,98263.2,3,1,0
2,1,0,0,3115,2006,2,25114.1,3,1,0
3,0,1,0,211,2003,2,23945.38,3,1,0
1,0,1,0,1446,2007,3,19311.82,3,1,0
1,2,1,1,936,1855,3,144869.09,3,1,0
0,3,1,0,4420,1984,4,63512.57,3,1,0
2,2,1,0,2670,2013,4,76452.7,3,1,1
1,3,1,0,2020,2000,3,795.4405,0,1,0
1,0,1,0,605,1994,3,66972.41,3,1,0
1,0,1,1,2288,1975,3,256261.78,3,1,0
1,3,1,0,288,1997,3,85004.99,3,1,0
1,3,1,0,358352,2006,3,98124.95,3,1,0
1,3,1,0,2839,1930,1,13241.64,3,1,0
